step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
15.0,0,0.0,0.0,11.617637299816124,0,0.0,0.819766050946808,0,0.0,False,,
20.0,0,0.0,0.0,13.881511805991337,0,0.0,0.9767725308488521,0,0.0,False,,
25.0,0,0.0,0.0,13.91780666786262,0,0.0,0.9800331541761444,0,0.0,False,,
30.0,0,0.0,0.0,13.26031527206778,0,0.0,0.9585416741487802,0,0.0,False,,
35.0,0,0.0,0.0,12.891477373727911,0,0.0,0.9310242369833632,0,0.0,False,,
40.0,0,0.0,0.0,13.36880707527256,0,0.0,0.977877997804755,0,0.0,False,,
45.0,0,0.0,0.0,13.08412443687927,0,0.0,0.9539499225856973,0,0.0,False,,
50.0,0,0.0,0.0,13.36028750470814,0,0.0,0.9739242632110665,0,0.0,False,,
55.0,0,0.0,0.0,12.921392587559922,0,0.0,0.9201231519322838,0,0.0,False,,
60.0,0,0.0,0.0,13.144519444544773,0,0.0,0.9190348651985911,0,0.0,False,,
65.0,0,0.0,0.0,13.402899669593317,0,0.0,0.9196939201038493,0,0.0,False,,
70.0,1,3.0,0.25,12.10762797269581,1,3.0,0.8231821126127622,1,3.0,False,,
75.0,2,13.0,0.9285714285714286,12.026015076498718,2,13.0,0.8294132503318309,2,13.0,False,,
80.0,1,13.0,0.9285714285714286,12.273936661393126,1,22.0,0.8461016116557649,1,22.0,False,,
85.0,1,18.0,1.125,12.335021022882206,1,18.0,0.8853308355728402,1,18.0,False,,
90.0,1,23.0,1.4375,12.144145990397819,1,23.0,0.8422545450885609,1,23.0,False,,
95.0,0,0.0,0.0,11.813507767650702,0,31.0,0.8149647576648072,0,31.0,False,,
100.0,1,3.0,0.125,11.978919108645693,1,3.0,0.8924479756855161,1,3.0,False,,
105.0,0,0.0,0.0,12.349607745503832,0,7.0,0.9240129847215849,0,7.0,False,,
110.0,2,2.0,0.06896551724137931,11.61916892226083,2,2.0,0.8633245049370842,2,2.0,False,,
115.0,2,12.0,0.41379310344827586,11.936859472734046,2,12.0,0.8789813067684342,2,12.0,False,,
120.0,1,11.0,0.36666666666666664,12.299360142931947,1,21.0,0.8817929860056786,1,21.0,False,,
125.0,2,17.0,0.5,12.193180636084001,2,17.0,0.8730142458707106,2,17.0,False,,
130.0,2,27.0,0.7714285714285715,12.483238078134724,2,27.0,0.8930379254402555,2,27.0,False,,
135.0,2,37.0,0.9736842105263158,12.625311607154872,2,37.0,0.9065251639278873,2,37.0,False,,
140.0,1,16.0,0.3902439024390244,12.613523752922916,1,46.0,0.8874793781450949,1,46.0,False,,
145.0,2,22.0,0.5116279069767442,12.610467866870657,2,22.0,0.9029091496246828,2,22.0,False,,
150.0,2,32.0,0.7111111111111111,12.441391565166183,2,32.0,0.8767952081158153,2,32.0,False,,
155.0,3,45.0,1.0227272727272727,12.417606613984104,3,45.0,0.8678489452234154,3,45.0,False,,
160.0,2,24.0,0.4897959183673469,11.894377634019989,2,59.0,0.831717780282113,2,59.0,False,,
165.0,6,47.0,0.94,10.990054601671895,6,47.0,0.7641748742460056,6,47.0,False,,
170.0,8,86.0,1.6538461538461537,10.956846374275512,8,86.0,0.7620482164968007,8,86.0,False,,
175.0,7,67.0,1.1964285714285714,10.442760548714725,7,128.0,0.7190180892289655,7,128.0,False,,
180.0,7,92.0,1.5333333333333334,10.878339508138998,7,92.0,0.8088858919960472,7,92.0,False,,
185.0,4,58.0,0.9206349206349206,10.905278009524794,4,124.0,0.7915396459189576,4,124.0,False,,
190.0,1,28.0,0.4,11.378807159667918,1,50.0,0.875841917653967,1,50.0,False,,
195.0,4,12.0,0.16,11.597270673928413,4,66.0,0.8563798351112062,4,66.0,False,,
200.0,6,40.0,0.5128205128205128,11.694426951336366,6,62.0,0.8564557209869482,6,62.0,False,,
205.0,4,41.0,0.5256410256410257,11.62325251563206,4,92.0,0.8195604060723686,4,92.0,False,,
210.0,6,66.0,0.8354430379746836,11.610672331366885,6,88.0,0.8536703475041268,6,88.0,False,,
215.0,7,98.0,1.1529411764705881,11.718920245673758,7,120.0,0.834816255867931,7,120.0,False,,
220.0,9,136.0,1.4945054945054945,11.672555696753326,9,158.0,0.8121511203330468,9,158.0,False,,
225.0,11,187.0,2.010752688172043,11.361659592524925,11,209.0,0.7815696807645476,11,209.0,False,,
230.0,18,261.0,2.6363636363636362,10.51653417521822,18,283.0,0.7020108388842581,18,283.0,False,,
235.0,19,216.0,2.057142857142857,9.881635863476582,19,318.0,0.6548411023700588,19,318.0,False,,
240.0,20,230.0,2.090909090909091,9.70527407951189,20,242.0,0.6753823023800469,20,242.0,False,,
245.0,23,338.0,3.045045045045045,9.829253204089246,23,338.0,0.6695488440466126,23,338.0,False,,
250.0,29,466.0,4.087719298245614,9.573239416485167,29,466.0,0.6262726131515753,29,466.0,False,,
255.0,32,618.0,5.469026548672566,9.442657901632362,32,618.0,0.6125321366684027,32,618.0,False,,
260.0,37,791.0,6.93859649122807,8.945859862813503,37,791.0,0.5925300403362624,37,791.0,False,,
265.0,37,976.0,8.271186440677965,9.039410636675935,37,976.0,0.601848904148426,37,976.0,False,,
270.0,37,1073.0,8.941666666666666,8.82580832741245,37,1163.0,0.587264639371728,37,1163.0,False,,
275.0,43,1194.0,9.552,8.018736278737318,43,1220.0,0.5393652245705964,43,1220.0,False,,
280.0,45,1081.0,8.4453125,7.789513104068049,45,1447.0,0.5152904399305475,45,1447.0,False,,
285.0,18,270.0,1.9852941176470589,8.169048293943323,18,964.0,0.5738663272004808,18,964.0,False,,
290.0,17,295.0,2.062937062937063,8.657734454153946,17,784.0,0.5929758327031308,17,784.0,False,,
295.0,21,398.0,2.689189189189189,9.740702117147833,21,549.0,0.6675550738792908,21,549.0,False,,
300.0,23,507.0,3.38,10.456709020205407,23,544.0,0.6970741122244759,23,544.0,False,,
305.0,25,627.0,4.18,10.69212252657424,25,653.0,0.6773939170412989,25,653.0,False,,
310.0,22,452.0,2.973684210526316,10.402887725818099,22,780.0,0.6280536358845067,22,780.0,False,,
315.0,10,146.0,0.948051948051948,10.626527203382782,10,357.0,0.7202355473859126,10,357.0,False,,
320.0,13,161.0,1.0125786163522013,10.499733078343603,13,419.0,0.68121350062067,13,419.0,False,,
325.0,18,220.0,1.3414634146341464,10.727062754092202,18,433.0,0.7295780764196547,18,433.0,False,,
330.0,19,312.0,1.8571428571428572,10.730226003735115,19,525.0,0.6824818513788395,19,525.0,False,,
335.0,22,336.0,1.8983050847457628,10.7411878145506,22,639.0,0.6540679174743814,22,639.0,False,,
340.0,30,447.0,2.4293478260869565,10.599590160338561,30,666.0,0.6314124506535725,30,666.0,False,,
345.0,30,569.0,3.026595744680851,10.322491206304099,30,823.0,0.6010802910902284,30,823.0,False,,
350.0,33,716.0,3.8085106382978724,10.299487160094346,33,935.0,0.6383376922132495,33,935.0,False,,
355.0,31,671.0,3.707182320441989,10.023721181039368,31,1102.0,0.6179998046893389,31,1102.0,False,,
360.0,11,214.0,1.2369942196531791,9.974674247044398,11,773.0,0.6604726979863441,11,773.0,False,,
365.0,21,186.0,1.0689655172413792,9.840379967615167,21,858.0,0.6293206328784765,21,858.0,False,,
370.0,37,265.0,1.5229885057471264,9.896464772984487,37,809.0,0.6318815671583223,37,809.0,False,,
375.0,37,377.0,2.191860465116279,9.528205301618703,37,1009.0,0.5936278431333458,37,1009.0,False,,
380.0,37,485.0,2.8529411764705883,9.49308575598781,37,1054.0,0.6146468971159585,37,1054.0,False,,
385.0,41,681.0,3.982456140350877,9.363628667040668,41,1225.0,0.6033904621768728,41,1225.0,False,,
390.0,43,885.0,5.236686390532545,9.414093148915189,43,1431.0,0.6077972678269109,43,1431.0,False,,
395.0,45,1019.0,5.7897727272727275,9.51451287636646,45,1652.0,0.6017607214267856,45,1652.0,False,,
400.0,46,1225.0,6.767955801104972,9.491483892073916,46,1765.0,0.6064423209752421,46,1765.0,False,,
405.0,47,1428.0,7.636363636363637,9.006087350551713,47,2005.0,0.5615575320105833,47,2005.0,False,,
410.0,45,1641.0,8.87027027027027,8.916117178604898,45,2185.0,0.5756342628146575,45,2185.0,False,,
415.0,47,1564.0,8.363636363636363,8.521131699547587,47,2317.0,0.5220139781814183,47,2317.0,False,,
420.0,32,382.0,2.0319148936170213,8.327886659001939,32,1725.0,0.5186744102354095,32,1725.0,False,,
425.0,28,199.0,0.995,8.43066101156538,28,1870.0,0.5064342999177386,28,1870.0,False,,
430.0,32,238.0,1.1724137931034482,8.52269046804019,32,1932.0,0.5166020585258313,32,1932.0,False,,
435.0,50,450.0,2.112676056338028,8.827220518617406,50,2117.0,0.5423742243635631,50,2117.0,False,,
440.0,61,674.0,3.0636363636363635,8.633406506522084,61,2403.0,0.5193907410854205,61,2403.0,False,,
445.0,71,946.0,4.185840707964601,8.55248484676862,71,2647.0,0.5224957097198246,71,2647.0,False,,
450.0,78,1324.0,5.6581196581196584,8.375559149543228,78,2996.0,0.5159809524556631,78,2996.0,False,,
455.0,83,1661.0,6.949790794979079,8.045846467650971,83,3387.0,0.500968692380404,83,3387.0,False,,
460.0,77,1957.0,7.955284552845528,8.283370562637527,77,3626.0,0.5362219400778167,77,3626.0,False,,
465.0,79,2232.0,8.82213438735178,8.322177505287904,79,4014.0,0.5268289092705251,79,4014.0,False,,
470.0,83,2564.0,10.015625,8.207758957644113,83,4248.0,0.5207617973934885,83,4248.0,False,,
475.0,94,2957.0,11.243346007604563,7.784238333206907,94,4699.0,0.4838448501135678,94,4699.0,False,,
480.0,89,3345.0,12.119565217391305,7.900315377846494,89,5018.0,0.5124424979037383,89,5018.0,False,,
485.0,95,3809.0,13.459363957597173,7.975559363546274,95,5466.0,0.520742249119051,95,5466.0,False,,
490.0,101,3919.0,13.946619217081851,7.791363588964291,101,5969.0,0.4953793702690638,101,5969.0,False,,
495.0,79,2459.0,8.567944250871081,7.758529794708768,79,4879.0,0.4965205554129357,79,4879.0,False,,
500.0,67,1334.0,4.697183098591549,7.502972439140367,67,5234.0,0.4699973290886953,67,5234.0,False,,
