step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
15.0,0,0.0,0.0,11.982720681407955,0,0.0,0.8321255274392053,0,0.0,False,,
20.0,0,0.0,0.0,14.149197340671954,0,0.0,0.9819235834770605,0,0.0,False,,
25.0,0,0.0,0.0,13.976243112663788,0,0.0,0.9701449922787486,0,0.0,False,,
30.0,0,0.0,0.0,13.449177824168189,0,0.0,0.9613174426515654,0,0.0,False,,
35.0,0,0.0,0.0,13.149594786952097,0,0.0,0.9362357226124569,0,0.0,False,,
40.0,0,0.0,0.0,13.726912972136962,0,0.0,0.977297992750155,0,0.0,False,,
45.0,0,0.0,0.0,13.522680473418221,0,0.0,0.9704870519782093,0,0.0,False,,
50.0,0,0.0,0.0,13.695544095011547,0,0.0,0.9832389625090755,0,0.0,False,,
55.0,0,0.0,0.0,13.067340221576249,0,0.0,0.9389741888166263,0,0.0,False,,
60.0,0,0.0,0.0,13.257780636814152,0,0.0,0.9427879783013285,0,0.0,False,,
65.0,0,0.0,0.0,12.509179129086384,0,0.0,0.8963265660821512,0,0.0,False,,
70.0,0,0.0,0.0,11.77809406109376,0,4.0,0.8434120923802136,0,4.0,False,,
75.0,1,3.0,0.21428571428571427,11.86157636870642,1,3.0,0.8983645388516729,1,3.0,False,,
80.0,1,8.0,0.5714285714285714,12.241314516083335,1,8.0,0.9116951972614129,1,8.0,False,,
85.0,0,0.0,0.0,12.004981279991528,0,12.0,0.8690435705818484,0,12.0,False,,
90.0,1,3.0,0.1875,12.28212139006067,1,3.0,0.9005420048365596,1,3.0,False,,
95.0,2,11.0,0.55,11.543129709977364,2,11.0,0.8201391598578315,2,11.0,False,,
100.0,2,21.0,0.875,11.763467553851804,2,21.0,0.8140356687515021,2,21.0,False,,
105.0,3,35.0,1.2962962962962963,12.047058292576454,3,35.0,0.8274390850382521,3,35.0,False,,
110.0,4,53.0,1.8275862068965518,11.140860556499307,4,53.0,0.759123828016108,4,53.0,False,,
115.0,6,81.0,2.793103448275862,10.696762638448964,6,81.0,0.7198938617686469,6,81.0,False,,
120.0,7,114.0,3.8,10.465876454591712,7,114.0,0.6913711619561256,7,114.0,False,,
125.0,8,153.0,4.5,10.540865386384652,8,153.0,0.7066685811076232,8,153.0,False,,
130.0,8,193.0,5.514285714285714,10.171060806832473,8,193.0,0.6724861422301791,8,193.0,False,,
135.0,10,241.0,6.513513513513513,10.099470109939176,10,241.0,0.6900481603288169,10,241.0,False,,
140.0,7,171.0,4.275,9.68676203678864,7,288.0,0.6782472521236181,7,288.0,False,,
145.0,6,148.0,3.6097560975609757,10.142294582517085,6,172.0,0.7667052155333184,6,172.0,False,,
150.0,8,183.0,4.066666666666666,9.29949557336048,8,183.0,0.6688580805686686,8,183.0,False,,
155.0,12,210.0,4.666666666666667,8.916095961110369,12,236.0,0.6104019342201132,12,236.0,False,,
160.0,12,270.0,5.1923076923076925,9.138617948358824,12,270.0,0.6222413580470062,12,270.0,False,,
165.0,13,327.0,5.945454545454545,9.229413857570998,13,339.0,0.6341461864457861,13,339.0,False,,
170.0,13,392.0,6.87719298245614,9.474710247641413,13,392.0,0.6635172352928882,13,392.0,False,,
175.0,8,254.0,4.096774193548387,9.987753082299184,8,456.0,0.6890110847970221,8,456.0,False,,
180.0,3,52.0,0.7647058823529411,10.525873841358209,3,144.0,0.8199632921380472,3,144.0,False,,
185.0,5,63.0,0.8873239436619719,11.026460806100406,5,165.0,0.8044480151696102,5,165.0,False,,
190.0,8,94.0,1.205128205128205,11.436657883406584,8,186.0,0.8132571330632425,8,186.0,False,,
195.0,9,135.0,1.6265060240963856,11.503021515182098,9,227.0,0.7798829035657472,9,227.0,False,,
200.0,12,191.0,2.2209302325581395,11.251232937701866,12,283.0,0.7509537823485999,12,283.0,False,,
205.0,10,166.0,1.9761904761904763,10.986709050936124,10,353.0,0.7290953275398238,10,353.0,False,,
210.0,8,159.0,1.9156626506024097,10.659534439059215,8,164.0,0.7810104122884718,8,164.0,False,,
215.0,12,212.0,2.3555555555555556,10.628602390109155,12,212.0,0.7428581879191475,12,212.0,False,,
220.0,14,280.0,2.88659793814433,10.867622053325041,14,280.0,0.7307819748239295,14,280.0,False,,
225.0,16,276.0,2.787878787878788,10.754432230964085,16,359.0,0.7157107144432724,16,359.0,False,,
230.0,20,291.0,2.825242718446602,10.083993098993295,20,308.0,0.6663495656232001,20,308.0,False,,
235.0,25,380.0,3.5185185185185186,9.623735622760321,25,419.0,0.632761783086977,25,419.0,False,,
240.0,27,509.0,4.544642857142857,9.492139328865315,27,527.0,0.6397648168942264,27,527.0,False,,
245.0,34,662.0,6.0181818181818185,8.57636565188435,34,681.0,0.5692531188836455,34,681.0,False,,
250.0,36,830.0,7.280701754385965,8.375182086173211,36,864.0,0.5581817592590472,36,864.0,False,,
255.0,43,1033.0,8.905172413793103,8.108449288184334,43,1035.0,0.5329328866087139,43,1035.0,False,,
260.0,39,1155.0,9.390243902439025,8.244239741373065,39,1243.0,0.5446909528817203,39,1243.0,False,,
265.0,38,1296.0,10.204724409448819,8.450684834592535,38,1318.0,0.5757777945056308,38,1318.0,False,,
270.0,38,1106.0,8.507692307692308,8.189904131244782,38,1519.0,0.5388524562912689,38,1519.0,False,,
275.0,16,165.0,1.25,8.488595265353686,16,921.0,0.596652399259676,16,921.0,False,,
280.0,8,90.0,0.6766917293233082,9.192022979176524,8,661.0,0.6502459010231707,8,661.0,False,,
285.0,21,149.0,1.0567375886524824,8.966047756428095,21,702.0,0.5847285103134502,21,702.0,False,,
290.0,39,293.0,1.9797297297297298,8.932904785777257,39,841.0,0.5483352916952261,39,841.0,False,,
295.0,48,451.0,2.9671052631578947,8.895997986038086,48,1069.0,0.5429641328652909,48,1069.0,False,,
300.0,52,696.0,4.51948051948052,8.355960256243693,52,1244.0,0.5022718678504711,52,1244.0,False,,
305.0,53,817.0,5.138364779874214,8.046495362422235,53,1468.0,0.4696245072227115,53,1468.0,False,,
310.0,49,943.0,5.785276073619632,8.129655762347248,49,1504.0,0.4965709568342448,49,1504.0,False,,
315.0,52,1012.0,6.096385542168675,7.92807638673661,52,1761.0,0.4519062437406051,52,1761.0,False,,
320.0,31,400.0,2.366863905325444,8.562950903850018,31,1270.0,0.519567930815882,31,1270.0,False,,
325.0,18,141.0,0.8197674418604651,8.757213421990718,18,1344.0,0.5162180516152461,18,1344.0,False,,
330.0,39,280.0,1.6374269005847952,8.377200602673112,39,1492.0,0.46681847070444354,39,1492.0,False,,
335.0,56,476.0,2.7514450867052025,7.812116402490232,56,1750.0,0.4325069019702204,56,1750.0,False,,
340.0,42,470.0,2.6704545454545454,7.65218398261156,42,1444.0,0.45678632173559586,42,1444.0,False,,
345.0,36,500.0,2.808988764044944,7.541734619782504,36,1629.0,0.4546332467045251,36,1629.0,False,,
350.0,56,738.0,4.032786885245901,7.472201791389875,56,1867.0,0.43686433224100524,56,1867.0,False,,
355.0,72,832.0,4.402116402116402,7.220299078406402,72,2203.0,0.41030296839441155,72,2203.0,False,,
360.0,61,728.0,3.752577319587629,7.536733076465101,61,2079.0,0.4598364771376473,61,2079.0,False,,
365.0,69,1046.0,5.127450980392157,7.875302649730654,69,2397.0,0.48022065980262335,69,2397.0,False,,
370.0,81,1431.0,7.0492610837438425,7.624487628568513,81,2782.0,0.45234819624987105,81,2782.0,False,,
375.0,81,1667.0,8.211822660098521,7.323966746040576,81,3131.0,0.43719290735395017,81,3131.0,False,,
380.0,59,1133.0,5.63681592039801,6.994522635284714,59,2901.0,0.4401350640358432,59,2901.0,False,,
385.0,48,698.0,3.3883495145631066,6.92275571257713,48,3168.0,0.4293916884618187,48,3168.0,False,,
390.0,35,409.0,1.9476190476190476,6.98488169260177,35,2927.0,0.44259101874547563,35,2927.0,False,,
395.0,59,479.0,2.207373271889401,6.840186660714583,59,3175.0,0.41018819989929356,59,3175.0,False,,
400.0,85,715.0,3.220720720720721,6.747606645412928,85,3268.0,0.3953734375664185,85,3268.0,False,,
405.0,101,1190.0,5.336322869955157,6.558286265547215,101,3718.0,0.379769803243622,101,3718.0,False,,
410.0,111,1722.0,7.619469026548672,6.265716627625967,111,4243.0,0.34709512510776025,111,4243.0,False,,
415.0,123,2316.0,10.202643171806168,5.9818895144046085,123,4837.0,0.3200675061196212,123,4837.0,False,,
420.0,120,2785.0,11.952789699570815,5.937111697970566,120,5455.0,0.3269581487788637,120,5455.0,False,,
425.0,101,2865.0,11.790123456790123,6.2955871293474805,101,5487.0,0.3696163624723594,101,5487.0,False,,
430.0,100,3050.0,12.298387096774194,6.548007460480903,100,5867.0,0.38509831305171544,100,5867.0,False,,
435.0,85,2215.0,8.618677042801556,6.809607543837853,85,5255.0,0.41035124016212754,85,5255.0,False,,
440.0,74,1530.0,5.730337078651686,7.16953632465273,74,4882.0,0.4337385132603438,74,4882.0,False,,
445.0,71,1011.0,3.7723880597014925,7.066875992982615,71,5240.0,0.42218564707171086,71,5240.0,False,,
450.0,75,781.0,2.7992831541218637,7.063886319970839,75,5495.0,0.4240160608611288,75,5495.0,False,,
455.0,92,1012.0,3.563380281690141,6.770429340584128,92,5855.0,0.4083251705528301,92,5855.0,False,,
460.0,84,865.0,2.9930795847750864,6.811062847215953,84,5723.0,0.42237708317349454,84,5723.0,False,,
465.0,97,1098.0,3.7474402730375425,6.875349878835879,97,6179.0,0.42008241109811234,97,6179.0,False,,
470.0,123,1602.0,5.357859531772576,6.775063193378224,123,6674.0,0.4049854214804649,123,6674.0,False,,
475.0,137,2211.0,7.04140127388535,6.556132526203264,137,7344.0,0.38142406221684905,137,7344.0,False,,
480.0,126,2637.0,8.113846153846154,6.604519436027126,126,7526.0,0.39742817095915506,126,7526.0,False,,
485.0,120,3161.0,9.464071856287426,6.991195053336635,120,7966.0,0.4292336670624961,120,7966.0,False,,
490.0,123,3749.0,11.157738095238095,6.998440313331822,123,8291.0,0.41561653725830144,123,8291.0,False,,
