step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
15.0,0,0.0,0.0,11.770098532666452,0,0.0,0.848668615274046,0,0.0,False,,
20.0,0,0.0,0.0,13.592538717102997,0,0.0,0.97607253540112,0,0.0,False,,
25.0,0,0.0,0.0,13.612883464042369,0,0.0,0.9780733827012764,0,0.0,False,,
30.0,0,0.0,0.0,13.133827476501645,0,0.0,0.9585010602274836,0,0.0,False,,
35.0,0,0.0,0.0,12.925734127271959,0,0.0,0.9445790607403173,0,0.0,False,,
40.0,0,0.0,0.0,13.284022367272888,0,0.0,0.9565756429923278,0,0.0,False,,
45.0,0,0.0,0.0,13.148748506170937,0,0.0,0.9707028787362976,0,0.0,False,,
50.0,0,0.0,0.0,13.302621161797944,0,0.0,0.9819266774451668,0,0.0,False,,
55.0,0,0.0,0.0,12.744231500594296,0,0.0,0.9527113447525274,0,0.0,False,,
60.0,0,0.0,0.0,12.718698692576046,0,0.0,0.9620784769076524,0,0.0,False,,
65.0,0,0.0,0.0,12.859984768851389,0,0.0,0.9574679052380768,0,0.0,False,,
70.0,0,0.0,0.0,12.75566540735137,0,0.0,0.9448894180267526,0,0.0,False,,
75.0,1,3.0,0.21428571428571427,12.17352567120635,1,3.0,0.8977973957944764,1,3.0,False,,
80.0,0,0.0,0.0,12.36402669015197,0,7.0,0.9125344307575028,0,7.0,False,,
85.0,0,0.0,0.0,12.42988287555685,0,0.0,0.9425736338920923,0,0.0,False,,
90.0,0,0.0,0.0,11.8962410703774,0,0.0,0.8940417844589018,0,0.0,False,,
95.0,1,5.0,0.2631578947368421,12.11456597720704,1,5.0,0.864871125724685,1,5.0,False,,
100.0,0,0.0,0.0,12.510311575286194,0,9.0,0.8768231846245257,0,9.0,False,,
105.0,0,0.0,0.0,13.10507890485152,0,0.0,0.9501852024285163,0,0.0,False,,
110.0,1,1.0,0.034482758620689655,13.043122479151595,1,1.0,0.922159438612297,1,1.0,False,,
115.0,2,7.0,0.2413793103448276,11.703657935826941,2,7.0,0.7929572299569994,2,7.0,False,,
120.0,5,29.0,0.9666666666666667,11.649967775607548,5,29.0,0.7783933541697478,5,29.0,False,,
125.0,5,54.0,1.6363636363636365,10.808495031733925,5,54.0,0.7159911729047587,5,54.0,False,,
130.0,5,63.0,1.8529411764705883,10.957723175870004,5,86.0,0.7328510220409336,5,86.0,False,,
135.0,4,50.0,1.3513513513513513,11.036231866588441,4,82.0,0.7758137272332757,4,82.0,False,,
140.0,6,78.0,1.95,10.934944870178029,6,112.0,0.7466917363522096,6,112.0,False,,
145.0,7,112.0,2.6666666666666665,10.582534275842525,7,144.0,0.716152194882163,7,144.0,False,,
150.0,10,155.0,3.604651162790698,9.705281461001931,10,187.0,0.652121396499407,10,187.0,False,,
155.0,12,193.0,4.386363636363637,9.234842904876585,12,247.0,0.6065012988969049,12,247.0,False,,
160.0,14,260.0,5.2,9.156230524174175,14,292.0,0.6209026163122354,14,292.0,False,,
165.0,11,239.0,4.509433962264151,9.130612110905961,11,315.0,0.6326955052740728,11,315.0,False,,
170.0,7,213.0,3.8035714285714284,10.056488933438642,7,237.0,0.7597039199060326,7,237.0,False,,
175.0,3,67.0,1.1166666666666667,10.217799320050323,3,272.0,0.7165695142869959,3,272.0,False,,
180.0,4,25.0,0.3787878787878788,10.986055459941827,4,99.0,0.8104265671395868,4,99.0,False,,
185.0,3,12.0,0.17391304347826086,11.646443116283786,3,106.0,0.8348180118235272,3,106.0,False,,
190.0,2,17.0,0.22666666666666666,11.965208228145464,2,67.0,0.888678721788185,2,67.0,False,,
195.0,5,33.0,0.4177215189873418,12.041019157657516,5,83.0,0.8425610274545605,5,83.0,False,,
200.0,6,63.0,0.7682926829268293,12.02468270809483,6,113.0,0.8087165454133258,6,113.0,False,,
205.0,11,109.0,1.3132530120481927,11.829368290385862,11,159.0,0.7655929892204486,11,159.0,False,,
210.0,8,87.0,1.0235294117647058,11.621815305855993,8,135.0,0.7621946771670796,8,135.0,False,,
215.0,5,74.0,0.8222222222222222,11.51336316623657,5,74.0,0.82574403514127,5,74.0,False,,
220.0,5,22.0,0.2268041237113402,11.81064288211081,5,103.0,0.8242756674549834,5,103.0,False,,
225.0,6,50.0,0.5,11.867938048636981,6,50.0,0.8282582535898553,6,50.0,False,,
230.0,10,71.0,0.696078431372549,11.19002930372351,10,94.0,0.7359963058790163,10,94.0,False,,
235.0,16,141.0,1.330188679245283,10.680879773470476,16,141.0,0.6843373587060639,16,141.0,False,,
240.0,20,217.0,2.02803738317757,10.42478383878527,20,240.0,0.6750306284652782,20,240.0,False,,
245.0,22,318.0,3.0,9.979447749186752,22,318.0,0.6594821067339055,22,318.0,False,,
250.0,28,445.0,4.158878504672897,9.295680921460166,28,445.0,0.6087490623751739,28,445.0,False,,
255.0,33,600.0,5.504587155963303,9.198191989388672,33,600.0,0.5926096015304435,33,600.0,False,,
260.0,34,770.0,6.637931034482759,9.186693693403374,34,770.0,0.5968278924057916,34,770.0,False,,
265.0,36,934.0,7.7190082644628095,9.142085428061938,36,949.0,0.5957906468093124,36,949.0,False,,
270.0,39,1121.0,9.113821138211382,8.639237137667772,39,1121.0,0.5661855158044699,39,1121.0,False,,
275.0,45,1334.0,10.503937007874017,7.792815172154097,45,1334.0,0.512872952082374,45,1334.0,False,,
280.0,56,1590.0,12.51968503937008,7.255653129355323,56,1590.0,0.47995571791248237,56,1590.0,False,,
285.0,54,1671.0,12.853846153846154,6.904269748847469,54,1872.0,0.4768964802439036,54,1872.0,False,,
290.0,47,1811.0,13.414814814814815,6.990333250355207,47,1829.0,0.5082608115311216,47,1829.0,False,,
295.0,55,2052.0,14.657142857142857,7.087402351686653,55,2092.0,0.48923670435658756,55,2092.0,False,,
300.0,57,2298.0,15.848275862068965,7.462396010457967,57,2333.0,0.4952790908606022,57,2333.0,False,,
305.0,66,2611.0,17.406666666666666,7.286363861117297,66,2629.0,0.46308718523186093,66,2629.0,False,,
310.0,63,2865.0,18.848684210526315,7.021200629891876,63,2962.0,0.4419257146766979,63,2962.0,False,,
315.0,62,3112.0,20.07741935483871,7.078363794051271,62,3132.0,0.45585054743461356,62,3132.0,False,,
320.0,69,3437.0,21.48125,6.8352483153324615,69,3437.0,0.4146580667108918,69,3437.0,False,,
325.0,68,3183.0,19.29090909090909,7.10667213577676,68,3796.0,0.41221682287635925,68,3796.0,False,,
330.0,44,1142.0,6.7976190476190474,7.273868686790117,44,2879.0,0.4288068999046212,44,2879.0,False,,
335.0,31,316.0,1.7853107344632768,7.676153346437449,31,3061.0,0.4511358978851792,31,3061.0,False,,
340.0,41,261.0,1.403225806451613,7.4956669446786135,41,3185.0,0.42134591977844366,41,3185.0,False,,
345.0,55,431.0,2.2447916666666665,7.438241409955258,55,3442.0,0.41550286524524377,55,3442.0,False,,
350.0,66,661.0,3.372448979591837,7.106644660522606,66,3628.0,0.402494362683454,66,3628.0,False,,
355.0,85,1053.0,5.318181818181818,7.030146522192531,85,4020.0,0.40432780637188326,85,4020.0,False,,
360.0,89,1497.0,7.447761194029851,7.282165345844803,89,4464.0,0.42063976128001085,89,4464.0,False,,
365.0,86,1761.0,8.385714285714286,7.399290627949423,86,4910.0,0.42397527000845303,86,4910.0,False,,
370.0,61,1294.0,6.046728971962617,7.648284813476743,61,3892.0,0.4625925589949815,61,3892.0,False,,
375.0,45,804.0,3.73953488372093,7.597059575110854,45,4140.0,0.4566939796512384,45,4140.0,False,,
380.0,51,440.0,2.085308056872038,7.338959205312797,51,4237.0,0.4419875528375026,51,4237.0,False,,
385.0,68,687.0,3.1953488372093024,6.934640828966579,68,4473.0,0.4014818978598258,68,4473.0,False,,
390.0,86,896.0,4.129032258064516,6.36785763226928,86,4878.0,0.36730199797413576,86,4878.0,False,,
395.0,84,946.0,4.280542986425339,6.336160033370452,84,4926.0,0.3795767127980092,84,4926.0,False,,
400.0,101,1409.0,6.234513274336283,6.360763914756928,101,5404.0,0.37464798030416746,101,5404.0,False,,
405.0,116,1962.0,8.493506493506494,6.131796675410262,116,5945.0,0.34928371194650926,116,5945.0,False,,
410.0,120,2359.0,10.301310043668122,5.769750109262969,120,6554.0,0.32631725763154035,120,6554.0,False,,
415.0,97,1884.0,8.155844155844155,5.687348725132566,97,5547.0,0.3268460472920097,97,5547.0,False,,
420.0,82,1536.0,6.426778242677824,6.369513677593534,82,5209.0,0.36683241138667566,82,5209.0,False,,
425.0,66,1070.0,4.28,6.746451224223611,66,5561.0,0.38538096909385405,66,5561.0,False,,
430.0,71,990.0,3.8976377952755907,6.922955640012735,71,5847.0,0.3912545842734516,71,5847.0,False,,
435.0,86,1241.0,4.754789272030651,6.707580043795287,86,6236.0,0.38715582469284815,86,6236.0,False,,
440.0,113,1748.0,6.474074074074074,6.412955003542561,113,6726.0,0.3733751625996232,113,6726.0,False,,
445.0,131,2248.0,8.028571428571428,6.185899079389999,131,7356.0,0.35914537035164845,131,7356.0,False,,
450.0,119,2289.0,7.947916666666667,6.135461201166971,119,6674.0,0.37291700363587627,119,6674.0,False,,
455.0,111,2396.0,8.094594594594595,6.234221614561991,111,7243.0,0.3805915138697139,111,7243.0,False,,
460.0,109,2490.0,8.355704697986576,6.333887799232125,109,7742.0,0.3925496850769581,109,7742.0,False,,
465.0,110,2696.0,8.897689768976898,6.240694240889684,110,8276.0,0.38434094663970825,110,8276.0,False,,
470.0,124,3190.0,10.290322580645162,5.959268495484423,124,8865.0,0.3669498195148946,124,8865.0,False,,
475.0,153,3895.0,12.248427672955975,5.671548768024699,153,9571.0,0.358245539950428,153,9571.0,False,,
480.0,173,4722.0,14.35258358662614,5.506569429959125,173,10400.0,0.3565249194932586,173,10400.0,False,,
485.0,194,5651.0,16.81845238095238,5.159426386991292,194,11330.0,0.3386000594990155,194,11330.0,False,,
490.0,203,6103.0,18.002949852507374,4.660416119191437,203,12120.0,0.30666203281439836,203,12120.0,False,,
495.0,186,4829.0,13.9164265129683,4.69888400851083,186,12018.0,0.31093109373036937,186,12018.0,False,,
