step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
210.0,16,187.0,4.675,4.943804084778029,16,345.0,0.23981708009057146,16,345.0,False,,
215.0,17,225.0,5.769230769230769,3.16743225317122,17,403.0,0.08617561462434392,17,403.0,False,,
220.0,16,251.0,5.340425531914893,5.5313560711935335,16,440.0,0.3217166459551409,16,440.0,False,,
225.0,15,320.0,7.111111111111111,6.984525965412836,15,474.0,0.3642138737922945,15,474.0,False,,
230.0,21,406.0,8.826086956521738,5.058630427198435,21,560.0,0.22570186971250897,21,560.0,False,,
235.0,29,536.0,13.073170731707316,3.011140829214108,29,690.0,0.1309910820455234,29,690.0,False,,
240.0,29,369.0,9.0,1.7637409312780006,29,700.0,0.1069843558599835,29,700.0,False,,
245.0,27,462.0,10.744186046511627,3.5292684084608448,27,659.0,0.1555155599954656,27,659.0,False,,
250.0,26,490.0,10.652173913043478,3.2597256088843256,26,731.0,0.11190021178075504,26,731.0,False,,
255.0,21,488.0,10.166666666666666,4.9015118007014555,21,753.0,0.22105091283208336,21,753.0,False,,
260.0,13,285.0,5.7,5.56888648808222,13,667.0,0.284026130385387,13,667.0,False,,
265.0,11,76.0,1.6170212765957446,4.5391784693573385,11,494.0,0.2108723420500733,11,494.0,False,,
270.0,18,110.0,2.2916666666666665,4.0422295299335635,18,527.0,0.19545836502887332,18,527.0,False,,
275.0,17,158.0,3.4347826086956523,4.118086879333978,17,527.0,0.12396060863959257,17,527.0,False,,
280.0,20,248.0,5.166666666666667,5.816369202957861,20,578.0,0.24788949804890714,20,578.0,False,,
285.0,15,254.0,5.906976744186046,5.001537549178655,15,544.0,0.22138302700739446,15,544.0,False,,
290.0,12,234.0,4.875,6.032643994351436,12,425.0,0.33399928147162383,12,425.0,False,,
295.0,14,97.0,2.0638297872340425,5.80710429691545,14,367.0,0.3215953821931145,14,367.0,False,,
300.0,23,163.0,3.6222222222222222,4.155059221398073,23,325.0,0.1523142200607279,23,325.0,False,,
305.0,24,196.0,4.260869565217392,3.8302681469396807,24,411.0,0.1477289646748991,24,411.0,False,,
310.0,20,182.0,4.232558139534884,3.815607693560044,20,451.0,0.14028508668570777,20,451.0,False,,
315.0,18,253.0,5.622222222222222,5.833872348644306,18,459.0,0.23174582270614985,18,459.0,False,,
320.0,13,195.0,4.642857142857143,4.940603930378439,13,439.0,0.250827238115743,13,439.0,False,,
