step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,12.387319974131053,0,0.0,0.9143823690046045,0,0.0,False,,
10.0,0,0.0,0.0,11.987411582707741,0,0.0,0.8909338860688761,0,0.0,False,,
15.0,5,8.0,0.4444444444444444,7.199667164021985,5,8.0,0.39926854547566754,5,8.0,False,,
20.0,8,48.0,2.6666666666666665,7.317962668304741,8,48.0,0.39507701255556193,8,48.0,False,,
25.0,9,70.0,3.0434782608695654,5.775060988446516,9,70.0,0.3194260577714158,9,70.0,False,,
30.0,12,129.0,6.45,4.15361817735401,12,129.0,0.23316274843892382,12,129.0,False,,
35.0,12,132.0,5.5,4.52662159023556,12,149.0,0.2748280053334517,12,149.0,False,,
40.0,12,192.0,6.857142857142857,6.352322172497108,12,192.0,0.34980237830476085,12,192.0,False,,
45.0,10,99.0,3.09375,6.786256974164331,10,195.0,0.3861547922325584,10,195.0,False,,
50.0,1,2.0,0.06451612903225806,6.137552989428088,1,121.0,0.29111769444960856,1,121.0,False,,
55.0,6,20.0,0.625,6.587361341916171,6,141.0,0.34748397255512325,6,141.0,False,,
60.0,10,61.0,2.1785714285714284,4.065872313313757,10,180.0,0.11244371394755678,10,180.0,False,,
65.0,14,70.0,2.2580645161290325,4.469678601305526,14,182.0,0.23369459690030994,14,182.0,False,,
70.0,6,64.0,2.2857142857142856,4.770130197231389,6,145.0,0.19860955487009405,6,145.0,False,,
75.0,2,2.0,0.05,7.895775260403499,2,87.0,0.4744040110550665,2,87.0,False,,
80.0,8,32.0,0.9411764705882353,7.3672376275882145,8,95.0,0.4354757864807508,8,95.0,False,,
85.0,15,87.0,2.289473684210526,5.683720382836391,15,150.0,0.2687915668433035,15,150.0,False,,
90.0,18,99.0,2.911764705882353,3.9937567147770268,18,191.0,0.17957956419109014,18,191.0,False,,
95.0,12,74.0,2.1142857142857143,5.647224830830539,12,156.0,0.24729375769395115,12,156.0,False,,
100.0,6,30.0,0.8333333333333334,5.62166143596699,6,169.0,0.23740305281304683,6,169.0,True,"{'r': -1.69, 'l': 20, 't': 8.269516}","[0.         0.         1.         0.         0.         0.47551954
 0.10567101 0.05283551 0.05283551 0.47551954 0.10567101 0.05283551
 0.05283551 0.05283551 0.05283551 0.         0.05283551 0.05283551
 0.05283551 0.         0.05283551]"
