step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,13.080661864938463,0,0.0,0.9304430922171322,0,0.0,False,,
10.0,0,0.0,0.0,11.12100916119828,0,0.0,0.8047173099960744,0,0.0,False,,
15.0,6,11.0,0.6111111111111112,5.5469448054268256,6,11.0,0.3373173254343763,6,11.0,False,,
20.0,10,56.0,3.111111111111111,5.5486694005546395,10,56.0,0.3297419540718581,10,56.0,False,,
25.0,6,67.0,2.9130434782608696,5.5870845687215205,6,80.0,0.34570630194286667,6,80.0,False,,
30.0,8,105.0,4.7727272727272725,7.229649011239133,8,105.0,0.34654907100285937,8,105.0,False,,
35.0,6,71.0,2.730769230769231,5.888719448212215,6,105.0,0.2615222158703845,6,105.0,False,,
40.0,12,121.0,4.481481481481482,6.765605917325713,12,121.0,0.4038947748739585,12,121.0,False,,
45.0,7,122.0,4.066666666666666,6.343690984848525,7,150.0,0.40238959016245573,7,150.0,False,,
50.0,8,153.0,5.464285714285714,6.519924715218954,8,157.0,0.3806442904170389,8,157.0,False,,
55.0,12,206.0,6.645161290322581,7.991489315698506,12,206.0,0.36299278315417177,12,206.0,False,,
60.0,12,266.0,10.23076923076923,5.813705554356428,12,266.0,0.213088913886605,12,266.0,False,,
65.0,14,335.0,11.964285714285714,4.732811064111108,14,335.0,0.2642786034719148,14,335.0,False,,
70.0,18,418.0,16.72,2.6847252409828957,18,418.0,0.17046924883456138,18,418.0,False,,
75.0,15,218.0,6.055555555555555,5.141230581986649,15,386.0,0.3514774540878257,15,386.0,False,,
80.0,12,184.0,5.111111111111111,7.150026045249741,12,280.0,0.43084404747462557,12,280.0,False,,
85.0,15,248.0,5.904761904761905,6.107541818363602,15,248.0,0.2560268569219192,15,248.0,False,,
90.0,18,229.0,6.026315789473684,5.063712813973443,18,299.0,0.21477155223114797,18,299.0,False,,
95.0,12,242.0,6.54054054054054,5.361965018299666,12,295.0,0.23553982025509143,12,295.0,False,,
100.0,11,98.0,2.7222222222222223,5.31833889742537,11,270.0,0.25536081405686845,11,270.0,False,,
105.0,15,139.0,3.9714285714285715,4.714863519623354,15,192.0,0.19508336359985054,15,192.0,False,,
110.0,15,165.0,4.125,6.061485042274493,15,226.0,0.3199826928152842,15,226.0,False,,
115.0,9,165.0,4.45945945945946,6.6941112996909675,9,219.0,0.3624843393227764,9,219.0,False,,
120.0,5,76.0,2.111111111111111,5.984785194242026,5,186.0,0.30118793819708634,5,186.0,False,,
125.0,12,119.0,3.4,4.780803476576214,12,165.0,0.21667899235041638,12,165.0,False,,
130.0,15,149.0,4.257142857142857,5.309104964980042,15,209.0,0.2349282590857083,15,209.0,False,,
