step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,12.479934193399872,0,0.0,0.9049159249267702,0,0.0,False,,
10.0,0,0.0,0.0,12.519437532442295,0,0.0,0.9174776499426368,0,0.0,False,,
15.0,4,7.0,0.3888888888888889,7.491744025877375,4,7.0,0.4069572640706803,4,7.0,False,,
20.0,6,30.0,1.6666666666666667,8.133467241616076,6,30.0,0.4693763471854826,6,30.0,False,,
25.0,10,66.0,3.0,5.938007340211758,10,66.0,0.3176384936832908,10,66.0,False,,
30.0,8,66.0,3.3,6.33714386549748,8,89.0,0.37930129442033184,8,89.0,False,,
35.0,9,107.0,4.863636363636363,5.716261221355451,9,107.0,0.2646875661310822,9,107.0,False,,
40.0,8,98.0,3.5,6.131993112480788,8,131.0,0.33707425359004195,8,131.0,False,,
45.0,6,119.0,4.25,7.9914159397299755,6,128.0,0.4725760826700794,6,128.0,False,,
50.0,8,152.0,5.066666666666666,8.288385327353398,8,152.0,0.338388488454825,8,152.0,False,,
55.0,8,192.0,6.4,7.281327603365579,8,193.0,0.35543133081914907,8,193.0,False,,
60.0,14,245.0,10.652173913043478,4.803854214669821,14,245.0,0.20282097015968734,14,245.0,False,,
65.0,10,284.0,10.142857142857142,6.11843730907668,10,293.0,0.32547984884618625,10,293.0,False,,
70.0,10,334.0,13.916666666666666,5.831700509717694,10,334.0,0.27500664410779124,10,334.0,False,,
75.0,12,392.0,10.88888888888889,8.677463262300105,12,392.0,0.4467990690003254,12,392.0,False,,
80.0,12,452.0,13.696969696969697,7.97694101529233,12,452.0,0.4340657543264483,12,452.0,False,,
85.0,14,519.0,16.21875,6.407488343293603,14,519.0,0.3353634243899908,14,519.0,False,,
90.0,16,594.0,19.8,5.734803263583863,16,594.0,0.2503159690735714,16,594.0,False,,
95.0,18,676.0,21.806451612903224,5.828254042780431,18,676.0,0.2416642511302751,18,676.0,False,,
100.0,19,768.0,24.774193548387096,5.180325266448808,19,768.0,0.22614346843713207,19,768.0,False,,
105.0,20,864.0,27.0,3.5009645947056853,20,864.0,0.17284020519642923,20,864.0,False,,
110.0,23,934.0,26.685714285714287,4.290899842032824,23,934.0,0.2861395450150358,23,934.0,False,,
115.0,23,1049.0,28.35135135135135,3.480668159809748,23,1049.0,0.20590908131797103,23,1049.0,False,,
120.0,22,1104.0,28.307692307692307,2.9672726875998925,22,1138.0,0.16596229892332226,22,1138.0,False,,
125.0,24,1209.0,29.48780487804878,4.176400065374831,24,1212.0,0.18054337720625566,24,1212.0,False,,
130.0,26,1332.0,30.976744186046513,5.256544661327851,26,1332.0,0.14845183267504589,26,1332.0,False,,
135.0,23,1414.0,33.666666666666664,4.8302954005427345,23,1434.0,0.20948170002634184,23,1434.0,False,,
