step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,11.998142168709377,0,0.0,0.8836706108944762,0,0.0,False,,
10.0,0,0.0,0.0,13.001728839907498,0,0.0,0.9612440054160425,0,0.0,False,,
15.0,6,10.0,0.5555555555555556,5.67864854200896,6,10.0,0.3674763159707559,6,10.0,False,,
20.0,10,59.0,3.2777777777777777,5.126197511111457,10,59.0,0.3273035875037928,10,59.0,False,,
25.0,8,73.0,3.3181818181818183,5.383446312402193,8,88.0,0.3310228690104525,8,88.0,False,,
30.0,12,127.0,5.7727272727272725,4.896167870386593,12,127.0,0.20937737367265394,12,127.0,False,,
35.0,10,131.0,5.038461538461538,4.839563924440549,10,143.0,0.2351029577241825,10,143.0,False,,
40.0,12,191.0,6.821428571428571,6.30651560651266,12,191.0,0.3557973897050926,12,191.0,False,,
45.0,15,258.0,8.0625,6.606706322077029,15,258.0,0.3607627949508173,15,258.0,False,,
50.0,17,337.0,10.870967741935484,4.296612418635212,17,337.0,0.12963210338165174,17,337.0,False,,
55.0,22,436.0,13.625,3.9610117316853595,22,436.0,0.18139017736635207,22,436.0,False,,
60.0,22,546.0,18.82758620689655,1.0187860496270609,22,546.0,0.0425003984833926,22,546.0,False,,
65.0,22,388.0,11.411764705882353,3.0249963601940157,22,567.0,0.19591007815307368,22,567.0,False,,
70.0,14,163.0,4.794117647058823,4.167575827023705,14,392.0,0.13652182489833584,14,392.0,False,,
75.0,10,106.0,2.3043478260869565,8.217536364254563,10,321.0,0.4683258453564055,10,321.0,False,,
80.0,6,114.0,2.7804878048780486,7.540909341433284,6,302.0,0.42578988271030516,6,302.0,False,,
85.0,13,159.0,3.8780487804878048,5.343234304823174,13,347.0,0.29063591044489,13,347.0,False,,
90.0,16,81.0,2.076923076923077,3.757777717142262,16,357.0,0.16209180112913166,16,357.0,False,,
95.0,20,157.0,3.925,4.29958055938259,20,357.0,0.17554478458008807,20,357.0,False,,
100.0,20,173.0,4.325,3.517900347093179,20,383.0,0.11923030893441793,20,383.0,False,,
105.0,16,129.0,3.225,5.057111865924279,16,341.0,0.24542943403775638,16,341.0,False,,
110.0,6,71.0,1.6136363636363635,4.8786147885923405,6,361.0,0.2484048982256355,6,361.0,False,,
115.0,12,101.0,2.4634146341463414,5.385359770370178,12,387.0,0.2882860699223332,12,387.0,False,,
120.0,18,175.0,4.166666666666667,4.057356216776302,18,461.0,0.14614904089771208,18,461.0,False,,
125.0,24,281.0,6.853658536585366,2.979754022125931,24,567.0,0.11989888319924832,24,567.0,False,,
130.0,30,415.0,10.121951219512194,2.1073354142912835,30,701.0,0.04597046678321663,30,701.0,False,,
135.0,35,578.0,13.136363636363637,2.3238379507795957,35,864.0,0.08747547849325833,35,864.0,False,,
140.0,32,574.0,13.666666666666666,1.1471652273178006,32,922.0,0.06036102120209511,32,922.0,False,,
145.0,26,506.0,10.541666666666666,3.8920602557350374,26,866.0,0.19733726282318514,26,866.0,False,,
150.0,22,347.0,6.673076923076923,4.547685609114565,22,959.0,0.2357831789758006,22,959.0,False,,
155.0,16,239.0,4.979166666666667,3.847374472208223,16,1043.0,0.17330044726050484,16,1043.0,False,,
160.0,24,286.0,5.958333333333333,2.8719497629140824,24,1138.0,0.09810236698701745,24,1138.0,False,,
165.0,26,409.0,8.346938775510203,2.127422996505488,26,1266.0,0.09068615098101182,26,1266.0,False,,
170.0,34,564.0,11.75,1.6869368629007842,34,1418.0,0.048086824425941005,34,1418.0,False,,
175.0,40,747.0,14.94,1.833724018023801,40,1603.0,0.045776723779056526,40,1603.0,False,,
180.0,42,953.0,20.27659574468085,1.4554936879530145,42,1809.0,2.747175464708947e-05,42,1809.0,False,,
185.0,36,939.0,18.057692307692307,2.8248671810441532,36,1843.0,0.1267643808395476,36,1843.0,False,,
190.0,26,769.0,15.693877551020408,3.834768791142426,26,1701.0,0.18193752417241688,26,1701.0,False,,
195.0,22,348.0,6.96,3.327480140389872,22,1594.0,0.1217921371739449,22,1594.0,False,,
200.0,24,236.0,5.130434782608695,3.0884574609093582,24,1632.0,0.10797537584423715,24,1632.0,False,,
205.0,20,157.0,3.4130434782608696,2.860092614271322,20,1715.0,0.12084351712882276,20,1715.0,False,,
210.0,26,273.0,5.934782608695652,2.1666320948182713,26,1831.0,0.0875777775729129,26,1831.0,False,,
215.0,26,293.0,6.369565217391305,1.9478154055626695,26,1789.0,0.05006106440618653,26,1789.0,False,,
220.0,24,256.0,4.923076923076923,4.204801759413929,24,1426.0,0.2130106833014918,24,1426.0,False,,
225.0,20,245.0,4.711538461538462,4.984042162030282,20,1525.0,0.24893022180475116,20,1525.0,False,,
230.0,19,215.0,4.3,3.6564143770140203,19,1613.0,0.13249483731707987,19,1613.0,False,,
235.0,18,219.0,4.760869565217392,3.1634869657786235,18,1541.0,0.14219781201572299,18,1541.0,False,,
240.0,14,251.0,5.340425531914893,3.1522821853094953,14,1309.0,0.1162384784952967,14,1309.0,False,,
245.0,8,68.0,1.36,3.863522719512307,8,1121.0,0.13939207536889736,8,1121.0,False,,
250.0,12,84.0,1.75,4.295427919337846,12,1039.0,0.16750500349252084,12,1039.0,False,,
255.0,16,105.0,2.1,4.360062230409971,16,1061.0,0.212888143016156,16,1061.0,False,,
260.0,25,221.0,4.510204081632653,3.1335950813549216,25,1178.0,0.18342697298268992,25,1178.0,False,,
265.0,28,257.0,5.03921568627451,1.5765580685758251,28,1144.0,0.06905336526272313,28,1144.0,False,,
270.0,28,258.0,4.961538461538462,2.3429679320379533,28,963.0,0.08696720110363376,28,963.0,False,,
275.0,26,296.0,5.6923076923076925,4.296673772353832,26,715.0,0.11744425486759776,26,715.0,False,,
