step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,13.796701514513524,0,0.0,0.9213184493620302,0,0.0,False,,
10.0,0,0.0,0.0,11.968648359424598,0,0.0,0.7926131478092178,0,0.0,False,,
15.0,4,8.0,0.4444444444444444,7.718656811081753,4,8.0,0.4415104255772729,4,8.0,False,,
20.0,6,37.0,2.0555555555555554,8.755143004151247,6,37.0,0.44930713022794616,6,37.0,False,,
25.0,4,48.0,2.2857142857142856,7.079560786716169,4,48.0,0.45101182079464036,4,48.0,False,,
30.0,6,74.0,4.111111111111111,8.106400518568284,6,74.0,0.47492811214023584,6,74.0,False,,
35.0,4,60.0,2.727272727272727,7.6705495739591525,4,60.0,0.4070047547340678,4,60.0,False,,
40.0,10,99.0,4.125,7.319565061524952,10,99.0,0.44684640720906765,10,99.0,False,,
45.0,7,117.0,4.5,6.497233640380865,7,128.0,0.43389888514728336,7,128.0,False,,
50.0,8,150.0,5.769230769230769,6.375346700719466,8,151.0,0.3579127590029629,8,151.0,False,,
55.0,14,208.0,6.933333333333334,5.878923519885877,14,209.0,0.2775061688872585,14,209.0,False,,
60.0,17,288.0,11.076923076923077,3.4427142124089585,17,289.0,0.15537620124420012,17,289.0,False,,
65.0,14,149.0,5.137931034482759,3.2695919092608485,14,276.0,0.2359097577932152,14,276.0,False,,
70.0,13,168.0,5.793103448275862,5.221509974813824,13,215.0,0.2684537040807532,13,215.0,False,,
75.0,13,139.0,3.3902439024390243,6.2282840505905135,13,244.0,0.35283099196111384,13,244.0,False,,
80.0,10,152.0,4.108108108108108,7.615456598967066,10,240.0,0.4458730516278974,10,240.0,False,,
85.0,12,206.0,5.024390243902439,6.1280517045562855,12,273.0,0.2623313494670209,12,273.0,False,,
90.0,23,304.0,8.444444444444445,4.106270994262438,23,371.0,0.18514076345558841,23,371.0,False,,
95.0,21,301.0,8.6,2.1132025338391,21,410.0,0.1401906465016498,21,410.0,False,,
100.0,21,381.0,10.297297297297296,4.5438087452057925,21,427.0,0.2311320431739796,21,427.0,False,,
105.0,20,387.0,9.439024390243903,3.7955066386868634,20,489.0,0.1588020491519429,20,489.0,False,,
110.0,15,372.0,8.454545454545455,5.512004126854619,15,501.0,0.2847747365607386,15,501.0,False,,
115.0,14,427.0,9.930232558139535,7.165215070097899,14,502.0,0.3632553668610768,14,502.0,False,,
120.0,15,499.0,12.170731707317072,6.638953220236581,15,531.0,0.28135778775965997,15,531.0,False,,
125.0,15,477.0,12.23076923076923,5.395814624064434,15,543.0,0.24835689766373317,15,543.0,False,,
130.0,18,543.0,15.083333333333334,5.409846349547294,18,543.0,0.2072797374668317,18,543.0,False,,
135.0,14,591.0,15.972972972972974,5.419919444099954,14,611.0,0.22788782542708333,14,611.0,False,,
140.0,14,657.0,18.771428571428572,6.242466150916338,14,661.0,0.28247249076379055,14,661.0,False,,
145.0,10,237.0,6.405405405405405,6.520181162013645,10,538.0,0.36747552895458,10,538.0,False,,
150.0,10,61.0,1.564102564102564,7.277261164933583,10,284.0,0.4275899071857055,10,284.0,False,,
155.0,6,67.0,1.8611111111111112,6.35730367805704,6,196.0,0.3219204332788157,6,196.0,False,,
160.0,13,102.0,2.6842105263157894,5.799512044560588,13,219.0,0.2673186645890135,13,219.0,False,,
165.0,12,72.0,2.1176470588235294,5.372055732064706,12,228.0,0.242102239172732,12,228.0,False,,
170.0,16,142.0,4.057142857142857,5.258119615611879,16,253.0,0.2519888032867959,16,253.0,False,,
175.0,19,233.0,7.0606060606060606,4.420782394654416,19,344.0,0.16635162210140922,19,344.0,False,,
180.0,20,297.0,8.735294117647058,3.532224164871182,20,408.0,0.15475409176899532,20,408.0,False,,
185.0,23,409.0,11.36111111111111,3.3477238332074677,23,520.0,0.18568643687477548,23,520.0,False,,
190.0,21,395.0,10.128205128205128,3.974157029810516,21,585.0,0.23780347522337322,21,585.0,False,,
195.0,17,343.0,8.794871794871796,3.6743020791208094,17,584.0,0.15895922285258227,17,584.0,False,,
200.0,16,411.0,9.55813953488372,6.490368345139771,16,564.0,0.30133535551918844,16,564.0,False,,
205.0,14,425.0,10.365853658536585,5.111721303836849,14,595.0,0.2267363468249248,14,595.0,False,,
210.0,20,513.0,13.153846153846153,4.598147917054721,20,666.0,0.17663141838254826,20,666.0,False,,
215.0,19,281.0,7.594594594594595,3.5008211039729153,19,603.0,0.1010946027917289,19,603.0,False,,
220.0,19,167.0,3.630434782608696,6.011698258692554,19,416.0,0.34854315780890266,19,416.0,False,,
225.0,15,151.0,3.5952380952380953,5.275382045304893,15,392.0,0.29648571803703766,15,392.0,False,,
230.0,13,76.0,1.6888888888888889,5.360310523925122,13,368.0,0.2588643726771392,13,368.0,False,,
235.0,15,121.0,2.880952380952381,5.815480466719638,15,342.0,0.2096425449315068,15,342.0,False,,
240.0,12,114.0,2.7804878048780486,5.279029442391977,12,303.0,0.2601376122525571,12,303.0,False,,
245.0,17,155.0,4.078947368421052,4.827625959272133,17,259.0,0.21519635789503425,17,259.0,False,,
250.0,22,220.0,5.5,4.392433992978801,22,305.0,0.1411447798985123,22,305.0,False,,
255.0,26,341.0,8.317073170731707,3.5129390837069807,26,427.0,0.16872938324633993,26,427.0,False,,
260.0,29,474.0,11.285714285714286,3.583181027639301,29,550.0,0.22908278766780407,29,550.0,False,,
265.0,31,621.0,14.785714285714286,2.567166743265514,31,697.0,0.10475029011510498,31,697.0,False,,
