step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
50.0,28,280.0,2.0588235294117645,8.895593190166878,2,64.0,0.4806417120050875,0,4.0,0.8995017370663299,0,0.0,1.0,0,0.0,0.9275477330072824,9,98.0,0.4107146703302443,0,19.0,0.31328617662512126,1,10.0,0.6097377905840132,0,0.0,0.9426569445005509,0,0.0,0.9398496185707315,0,0.0,0.942820525004383,3,12.0,0.49645605402290177,0,4.0,0.9126812984893812,0,4.0,0.8266452423162504,0,0.0,0.958956146377654,8,87.0,0.2785436022521192,5,75.0,0.5393365107180902,28,377.0
55.0,29,390.0,2.6,8.910982901323273,1,31.0,0.5097526893463173,0,2.0,0.8897309796668506,0,0.0,0.7687166082250488,0,0.0,0.9786547302065564,10,146.0,0.30444819340393464,0,0.0,0.9211238366095755,1,15.0,0.8111032000007717,0,0.0,0.9494631089114185,0,0.0,0.9562100021179726,0,0.0,0.9578497434633173,2,14.0,0.4653974850627023,0,4.0,0.9087549079036245,0,0.0,0.8187499794217429,0,0.0,0.8283780005504654,10,137.0,0.22995282587556973,5,96.0,0.48166362548330877,29,445.0
60.0,33,319.0,2.0580645161290323,8.103216025717522,6,53.0,0.42365417528472843,1,3.0,0.5451598139418881,0,4.0,0.7639534356511362,0,0.0,0.9457010823550054,11,201.0,0.18634892114689386,0,0.0,0.9629570360077286,1,20.0,0.7428469827043368,0,0.0,0.9315947636844599,0,0.0,0.9561361067685462,0,0.0,0.9424666211461302,4,25.0,0.6011193018087679,2,7.0,0.5349466526891552,0,0.0,0.9446894781073742,2,5.0,0.36868403019083124,6,127.0,0.40173735423325485,0,63.0,0.5828525553645255,33,508.0
65.0,52,483.0,2.9096385542168677,7.432888324637449,9,96.0,0.35386882534504893,7,24.0,0.25937641099465286,0,4.0,0.8972636073297765,0,0.0,0.9413358598602535,14,266.0,0.1234667122543726,0,0.0,0.9438654970630866,2,28.0,0.2442525077362717,0,0.0,0.960990589440963,0,0.0,0.9709774470185234,1,1.0,0.5396438955207078,6,49.0,0.5807545906530215,6,27.0,0.34061225329620615,0,0.0,0.9503442762291086,5,28.0,0.2630481867252307,0,59.0,0.5724906117909535,2,11.0,0.668661262706378,52,593.0
70.0,60,693.0,3.893258426966292,7.015407699381573,6,99.0,0.3969586534848491,8,66.0,0.38112445409765017,0,4.0,0.8845451763145091,0,0.0,0.9345809533040115,16,340.0,0.19698870564431287,1,6.0,0.2674292741927946,5,49.0,0.36372172931058316,0,0.0,0.9690559332050189,0,0.0,0.9764566318100013,3,13.0,0.46603366386643724,8,81.0,0.5056419076427484,7,61.0,0.27984062084389993,0,0.0,0.9325179893322674,5,53.0,0.0,1,42.0,0.5059079501882625,0,7.0,0.7033753301489145,60,821.0
75.0,58,849.0,4.69060773480663,6.577059883665622,1,41.0,0.47757566056758655,8,106.0,0.49663476296374853,1,5.0,0.5167788406047477,0,0.0,0.9662359511696638,17,422.0,0.21784423365999486,2,14.0,0.6048777447797683,5,74.0,0.47710376690476186,0,0.0,0.9422330292482447,0,0.0,0.9665121773457077,0,8.0,0.5076349171863024,9,123.0,0.2374070062267472,7,96.0,0.2131801626539778,0,0.0,0.9541418312820785,0,42.0,0.30794264605462274,7,68.0,0.4738716846557399,1,5.0,0.5560733503995613,58,1004.0
80.0,64,1042.0,5.427083333333333,6.866856383616413,3,45.0,0.461713753138395,8,146.0,0.4284441961967807,0,4.0,0.561645610640634,0,0.0,0.931056018022738,19,515.0,0.2306711930157525,0,2.0,0.8294998103171122,5,99.0,0.46503724965689996,0,0.0,0.9084414152618528,0,0.0,0.9608915952193849,0,0.0,0.9659425731239191,11,179.0,0.20137505295316843,1,78.0,0.44345415300704183,0,4.0,0.7492029123915545,0,4.0,0.8205808001439485,11,119.0,0.4080635949160852,6,23.0,0.29904871657320126,64,1218.0
85.0,81,1283.0,6.1980676328502415,6.708439685044703,9,74.0,0.3884813528922244,11,193.0,0.2072186516820222,4,10.0,0.3948112180976517,0,4.0,0.8699499664666103,21,615.0,0.24878229743710176,0,0.0,0.8016023825942256,2,59.0,0.11525314978121551,0,4.0,0.7386284527799694,0,0.0,0.9846179934614039,0,0.0,0.9763928822465213,13,241.0,0.3427737502037241,0,14.0,0.6964789951273319,0,4.0,0.914918881147492,0,4.0,0.9079790835380872,14,183.0,0.28177365349104055,7,58.0,0.11912884999643611,81,1463.0
90.0,88,1654.0,7.913875598086125,6.292541785401061,6,79.0,0.3308332668058522,15,269.0,0.19714331978945268,0,11.0,0.39643624577216713,0,4.0,0.9310404014620033,23,727.0,0.2380895494382987,0,0.0,0.9699242827791477,6,25.0,0.00040802111963666966,1,5.0,0.6491576872989693,0,0.0,0.9920132031242775,0,0.0,0.9569224403400255,15,313.0,0.3066939376229851,0,1.0,0.8237541961157041,0,4.0,0.9434956181791283,0,0.0,0.9070246587956827,15,255.0,0.10907970389505288,7,95.0,0.15465902867900377,88,1788.0
95.0,80,1905.0,8.86046511627907,6.2673678850927645,2,43.0,0.47706072548992867,15,344.0,0.3515732324578941,0,4.0,0.6904651019746353,0,4.0,0.6383482262365477,25,846.0,0.1626715672770102,0,0.0,0.946825696796237,0,31.0,0.6180159377689008,3,19.0,0.5409899155130271,0,0.0,0.9673132487724622,0,0.0,0.9448265500402981,17,391.0,0.16673663338855713,0,0.0,0.9470383784736943,1,6.0,0.5132363930004064,0,0.0,0.9592820742276782,16,335.0,0.24502680978879446,1,80.0,0.5297998091391923,80,2103.0
